Symbole,Description,Prix,Prix - Devise,Changement de prix % 1 jour,Performance % 1 semaine,Performance % 1 mois,Performance % 3 mois,Performance % 6 mois,Performance % Année écoulée,Performance % 1 année,Performance % 5 années,Performance % 10 années,Performance % Tout l'historique,Moyenne mobile simple (21) 1 jour,Moyenne mobile simple (200) 1 jour
GBTC,Grayscale Bitcoin Trust (BTC),88.1,USD,-1.8821695066265864,-5.197460454105253,-6.116794543904528,2.692621517659387,12.257900101936787,15.253793825222392,85.94343604896578,535.6421356421356,27545.200058993163,20997.652676600042,91.65142857142853,78.12970000000001
SMH,VanEck Semiconductor ETF,287.46,USD,-0.5191029900332226,-3.536912751677859,-0.7852002692115326,22.203281030136328,11.267660150957983,17.560935710780292,15.631536604987927,232.66982988080085,1220.7443142660234,524.9130434782608,292.07857142857137,247.93794999999983
IITU,iShares S&P 500 Information Technology Sector UCITS ETF,2811,GBX,-0.5307855626326964,-3.0689655172413794,1.5534682080924855,14.89883507050889,3.0142006413192854,3.1559633027522938,14.804982642434144,149.31263858093126,741.2389897123744,741.2389897123744,2863.2380952380936,2585.132499999995
SOXX,iShares Semiconductor ETF,242.36,USD,-0.5661770739312363,-3.1953986259785907,-1.4956917574378064,20.8958946475782,4.573696927856413,11.337743476662995,3.9235024227091486,140.55607241849444,882.8071601856856,905.6441549983286,244.2495238095234,216.32515000000018
XLE,SPDR Select Sector Fund - Energy Select Sector,86.38,USD,0.6877258421727347,0.9347978499649418,1.6594092032482013,6.628811257869387,-6.4138678223185295,0.02315886984714685,-3.2048408785298066,138.2896551724138,44.47231978591737,270.5308310991957,85.95095238095223,87.51314999999968
TQQQ,ProShares UltraPro QQQ,86.49,USD,-1.3909474404286841,-7.832480818414331,-1.860887325541814,32.87755415578428,-3.653781887044671,7.387633474050147,21.50885080078672,136.61856234183705,2665.8390575233125,21157.14285714286,89.8397619047619,75.41622499999997
FBTC,Fidelity Wise Origin Bitcoin Fund,97.79,USD,-1.8960674157303377,-5.2514291250847664,-6.079523626584708,3.0018959342742875,12.947562947562957,16.057441253263708,87.91314373558802,132.8887830435818,132.8887830435818,132.8887830435818,101.72238095238097,86.35497499999998
IYW,iShares U.S. Technology ETF,178.6,USD,-0.3737379371897227,-3.166341357623077,-0.34594353308782755,15.868690800570917,7.532060930820633,11.145684236729103,19.46488294314381,131.48958232072843,697.9448229643695,543.2414181204277,181.6933333333333,159.83555000000015
SPMO,Invesco S&P 500 Momentum ETF,114.79,USD,-0.6319252077562239,-2.4143500807617015,0.9497845396183384,12.638602688646854,12.462035857744699,19.822546972860135,28.25698324022347,128.30151153540177,355.1546391752577,355.1546391752577,116.00428571428563,101.17514999999997
IBIT,iShares Bitcoin Trust,63.69,USD,-1.8644067796610293,-5.237315875613742,-6.020362992474544,3.041579032519002,12.945557723000528,16.021495582475623,87.98701298701296,127.95275590551181,127.95275590551181,127.95275590551181,66.22333333333337,56.216975000000026
XLK,SPDR Select Sector Fund - Technology,258.91,USD,-0.36174716182412836,-3.0117999625397878,-0.8121671838485798,14.892389616152666,7.217989067417607,10.475337088240318,15.378787878787886,116.40755600133737,599.5676844096191,698.9508196721313,263.4014285714285,233.25820000000044
FTEC,Fidelity MSCI Information Technology Index ETF,202.91,USD,-0.22128245476003985,-2.9742265576435707,-0.602527677084349,15.473480537218302,6.135579035463956,8.793094204064127,17.779196656605524,115.95359727543637,554.1263700838169,696.037661828168,206.12952380952413,183.24479999999983
XLF,SPDR Select Sector Fund - Financial,52.7,USD,-0.3215434083601184,-0.018971732119138704,0.38095238095238637,6.282141776747005,2.5092394475783046,8.480856319473045,19.93627674101048,115.54192229038857,192.5275854345686,176.58852874531573,52.41999999999993,50.22530000000006
VFH,Vanguard Financials ETF,128.63,USD,-0.31773093614382875,-0.2172058024978676,0.2962962962962927,7.559160464921809,2.6166733147187884,8.393022667902581,20.75666541494555,114.77709133411253,170.8,159.75363489499188,128.03476190476195,122.065
VGT,Vanguard Information Tech ETF,682.08,USD,-0.2646624457149462,-2.8929384965831346,-0.6192356446607317,15.467826852431818,6.114067021375909,8.784688995215317,17.825493617094796,114.34901480154618,585.7832294389705,1299.4252360637597,692.8519047619059,616.04915
AVUV,Avantis U.S. Small Cap Value ETF,95.24,USD,0.3476978189864064,-1.1109957429135162,1.2007225587078902,10.654118740560012,-1.915550978372811,-2.2477676280406564,2.4306302430630145,113.73429084380608,89.79673176564367,89.79673176564367,94.06428571428579,93.09294999999993
CNDX,ISHARES NASDAQ 100 UCITS ETF USD (ACC),1142.2,EUR,-0.2619629758994062,-2.4594363791631046,1.2588652482269544,7.007682218474794,-5.02245135539663,-2.2758384668035516,12.354908518591385,109.46268493421393,442.4711140780848,1152.824421472511,1153.3619047619043,1108.425
