Symbole,Description,Prix,Prix - Devise,Marché,Changement de prix % 1 jour,Capitalisation boursière,Capitalisation boursière - Devise,Ratio cours/bénéfice,"Rendement du dividende %, 12 mois écoulés",Performance % 5 années,Performance % 1 année,Performance % 6 mois,Performance % 3 mois,Performance % 1 mois,Moyenne mobile simple (21) 1 jour,Moyenne mobile simple (200) 1 jour,Moyenne mobile simple (50) 1 jour,Beta 5 années,Beta 1 année,Moyenne de la vraie amplitude (14) 1 jour,"Rendement des fonds propres %, 12 mois écoulés","Rendement des capitaux employés %, 12 mois écoulés",perf_sum,perf_norm,MRAT,Diff,score
K,KINROSS GOLD CORP,27.22,CAD,TSX,0.44,23870055046,USD,15.73,0.62,143.47,119.87,74.82,37.68,26.66,25.1,18.33,22.9,0.67,1.48,0.72,22.5,24.43,232.38,1.23,1.37,1.48,2.6
AVAV,"AeroVironment, Inc.",242.54,USD,NASDAQ,1.12,11967282759,USD,157.14,0,211.46,31.09,59.55,42.23,-11.15,253.12,184.36,247.67,0.99,1.68,10.71,5.1,6.19,132.88,1.13,1.37,1.32,2.51
DLTR,"Dollar Tree, Inc.",113.48,USD,NASDAQ,0.14,23682801140,USD,,0,10.62,15.42,50.62,27.91,-0.63,114.43,83.48,108.72,0.88,0.64,2.32,19.25,10.61,93.95,1.09,1.37,1.36,2.46
HAG,HENSOLDT AG,88.3,EUR,XETR,2.02,11710629554,USD,112.07,0.58,670.51,163.11,78.67,5.69,-9.48,88.5,64.86,93.97,0.58,1.09,4.18,11.52,7.95,247.47,1.25,1.36,1.36,2.61
AAF,AIRTEL AFRICA PLC ORD USD0.5,218.4,GBX,LSE,1.96,10769252159,USD,30.76,2.25,276.55,93.1,60.12,20.86,16.85,210.02,153.99,193.24,1.56,1.78,5.17,,,174.08,1.17,1.36,1.42,2.54
ORCL,Oracle Corporation,235.91,USD,NYSE,-0.19,6.62632E+11,USD,54.35,0.76,318.73,70.05,39.35,48.07,-2.65,246.6,181.37,235.39,1.43,1.48,7.33,85.36,14.73,157.48,1.16,1.36,1.3,2.52
BWXT,"BWX Technologies, Inc.",163.8,USD,NYSE,0.44,14971113714,USD,51.1,0.6,182.41,61.95,59.42,34.2,12.97,166.84,122.98,151.86,0.72,1.15,5.1,26.97,11.56,155.57,1.16,1.36,1.33,2.51
TPR,"Tapestry, Inc.",98.6,USD,NYSE,-1.06,20520990348,USD,155.72,1.4,559.09,142.32,16.82,25.34,-10.41,105.5,77.89,98.75,1.53,1.15,3.7,9.76,17.21,184.49,1.18,1.35,1.27,2.54
CCJ,Cameco Corporation,75.42,USD,NYSE,0.68,32836921761,USD,83.81,0.15,579.46,76.83,73.98,24.35,-5.17,75.66,56.2,74.48,1.26,2.44,2.78,8.25,6.7,175.17,1.18,1.35,1.34,2.52
APH,Amphenol Corporation,110.76,USD,NYSE,1.28,1.35229E+11,USD,44.19,0.6,306.61,65.12,68.15,27.44,5.7,108.71,80.38,102.76,1.13,1.63,2.72,31.02,24.61,160.71,1.16,1.35,1.38,2.51
TIT,TELECOM ITALIA,0.46,EUR,MIL,-0.52,11886388110,USD,111.83,0,21.49,97.29,69.51,16.97,13.83,0.43,0.32,0.42,0.99,0.76,0.01,-2.01,4.1,183.77,1.18,1.34,1.42,2.52
NEM,Newmont Corporation,71.59,USD,NYSE,1.16,78638010796,USD,12.85,1.41,11.58,38.07,63.56,36.23,12.07,67.39,50.21,62.69,0.32,0.88,1.71,20.26,15.59,137.86,1.14,1.34,1.43,2.48
RHM,RHEINMETALL AG,1647,EUR,XETR,1.51,87096458824,USD,91.17,0.5,1984.81,208.08,70.67,-11.59,-5.91,1656.45,1250.04,1728.03,0.57,0.61,64.21,21.91,21.35,267.16,1.27,1.33,1.32,2.59
AVGO,Broadcom Inc.,293.83,USD,NASDAQ,-0.06,1.38204E+12,USD,110.46,0.78,777.8,78.05,41.95,26.18,2,299.54,224.53,283.18,1.17,2.3,9.06,18.98,14.46,146.19,1.15,1.33,1.31,2.48
ETE,NATIONAL BANK (CR),12.76,EUR,ATHEX,-0.27,13713597769,USD,10.58,3.47,1016.31,55.29,51.75,23.57,4.63,12.68,9.53,11.91,2.07,1.53,0.3,12.92,5.14,130.61,1.13,1.33,1.34,2.46
FN,Fabrinet,309.01,USD,NYSE,4.98,11040798900,USD,33.7,0,334.49,16.78,45.79,31.83,-0.21,319.49,241.02,301.61,1.01,1.91,15.52,17.84,17.05,94.4,1.09,1.33,1.28,2.42
CVNA,Carvana Co.,355.42,USD,NYSE,-0.67,76487606867,USD,88.99,0,74.04,129.99,62.66,14.15,5.78,350.64,266.44,339.87,3.58,2.24,16.3,49.91,21.63,206.8,1.21,1.32,1.33,2.52
HOT,HOCHTIEF AG,220.4,EUR,XETR,-2.48,19924460842,USD,20.21,2.31,184.39,101.65,46.54,31.19,13.61,207.94,157.01,186.24,0.99,1.34,5.15,108.18,14.85,179.38,1.18,1.32,1.4,2.5
STR,STRABAG SE,83.9,EUR,VIE,-3.34,12021236499,USD,11.93,2.88,226.46,119.35,49.82,-3.45,5.53,84.14,63.53,80.19,0.34,1.21,2.79,17.57,11.35,165.72,1.17,1.32,1.32,2.49
JBL,Jabil Inc.,210.35,USD,NYSE,0.24,22574516001,USD,40.89,0.15,509.89,93.89,32.3,25.43,-4.07,218.41,165.78,216.6,1.2,1.54,6.02,32.41,26.4,151.62,1.15,1.32,1.27,2.47
EBAY,eBay Inc.,99.48,USD,NASDAQ,0.26,45460075559,USD,21.98,1.13,71.63,67.98,41.34,37.17,19.82,93.78,71.11,84.16,1.27,0.42,2.17,42.63,17.87,146.48,1.15,1.32,1.4,2.47
ANA,"ACCIONA, S.A.",172.7,EUR,BME,-3.3,11433482630,USD,11.3,2.4,70.48,41.56,51.49,25.6,1.89,171.73,130.34,162.63,0.87,1.01,3.23,18,7.18,118.65,1.12,1.32,1.33,2.44
BEAN,BELIMO N,888.5,CHF,SIX,-0.28,13656836045,USD,63.98,1.07,133.82,61.11,43.89,10.24,-3.89,914.67,693.62,866,1.22,1,20.68,32.4,39.07,115.23,1.12,1.32,1.28,2.43
SPIE,SPIE,51.6,EUR,EURONEXT,-0.96,10258105099,USD,43.03,1.92,278.02,50.17,52.03,12.96,7.41,51.86,39.4,48.9,0.87,0.62,0.86,10.66,10.85,115.17,1.12,1.32,1.31,2.43
MEDP,"Medpace Holdings, Inc.",462.65,USD,NASDAQ,-0.21,12997238523,USD,34.41,0,271.37,18.71,34.35,53.93,3.97,448.35,339,381.59,1.43,1.15,13.54,89.38,74.72,107,1.11,1.32,1.36,2.43
IDXX,"IDEXX Laboratories, Inc.",640.04,USD,NASDAQ,-0.85,51206202149,USD,53.27,0,67.37,29.12,37.76,26.23,15.89,625.94,475.29,571.88,1.5,0.93,16.66,64.87,56.95,93.11,1.09,1.32,1.35,2.41
UCG,UNICREDIT,69.33,EUR,MIL,0.2,1.26256E+11,USD,,3.47,724.51,91.17,39.46,23.31,13.11,66.27,50.72,61.17,1.64,1.35,1.17,16.3,2.57,153.95,1.15,1.31,1.37,2.46
HOLN,HOLCIM N,66.9,CHF,SIX,-0.24,45024800619,USD,2.4,4.62,197.68,63.07,39.06,38.59,3.34,66.59,50.68,62.1,1.08,1.02,0.99,12.79,11.25,140.73,1.14,1.31,1.32,2.45
ABN,ABN AMRO BANK N.V.,25.76,EUR,EURONEXT,-0.43,25246311431,USD,9.28,5.22,212.24,68.09,41.15,15.05,4.04,25.45,19.47,24.51,1.01,0.93,0.45,10.16,2.09,124.29,1.12,1.31,1.32,2.43
EME,"EMCOR Group, Inc.",613.63,USD,NYSE,0.56,27468687337,USD,25.46,0.16,730.35,63.72,57.16,30.67,1.09,619.56,477.85,571.05,1.27,1.65,15.88,38.14,40.39,151.55,1.15,1.3,1.28,2.45
BCP,B.C.P.-BCO COMERCIAL PORTUGUES,0.77,EUR,EURONEXT,0.55,13633300990,USD,12.73,3.9,651.46,94.47,34.61,14.7,11.75,0.75,0.58,0.7,1.35,0.66,0.02,14.05,1.86,143.78,1.14,1.3,1.35,2.45
SAB,BANCO DE SABADELL,3.42,EUR,BME,-0.09,20337169064,USD,9.7,4.84,943.66,79.33,31.06,22.03,15.28,3.3,2.53,3.04,1.32,1.26,0.06,13.27,2.85,132.41,1.13,1.3,1.35,2.44
EUROB,EUROBANK HOLDINGS (CR),3.43,EUR,ATHEX,-0.69,14880030930,USD,8.92,3.04,717.88,63.38,36.69,29.08,8.23,3.35,2.58,3.14,1.76,1.48,0.07,16,4.15,129.16,1.13,1.3,1.33,2.43
NRG,"NRG Energy, Inc.",145.9,USD,NYSE,0.56,28221553211,USD,61.74,1.17,324.75,77.15,43.83,-8.4,-7.91,155.72,119.77,154.64,1.14,1.91,5.5,17.66,13.62,112.58,1.11,1.3,1.22,2.41
NVDA,NVIDIA Corporation,177.46,USD,NASDAQ,-0.3,4.33002E+12,USD,57.16,0.02,1286.49,41,36.53,32.28,2.22,178.91,138.06,167.65,2.14,2.12,4.47,115.46,107.35,109.81,1.11,1.3,1.29,2.41
SAN,BANCO SANTANDER S.A.,8.3,EUR,BME,-0.19,1.44735E+11,USD,9.87,2.05,360.2,93.29,36.63,17.78,10.17,7.91,6.11,7.48,1.62,1.62,0.15,13.29,1.16,147.7,1.15,1.29,1.36,2.44
ANET,"Arista Networks, Inc.",131.3,USD,NYSE,-1.46,1.65026E+11,USD,51.63,0,848.2,47.57,45.43,40.98,15.14,130.67,101.12,114.46,1.37,2.24,4.72,33.64,31.26,133.98,1.13,1.29,1.3,2.43
BKT,"BANKINTER, S.A.",13.15,EUR,BME,-0.57,13920347575,USD,,3.48,298.42,67.43,43.72,13.66,6.39,12.78,9.92,11.93,0.92,1,0.19,17.23,1.29,124.8,1.12,1.29,1.33,2.41
TEL,TE Connectivity plc,206.03,USD,NYSE,0.5,60878054753,USD,42.54,1.3,116.3,36.03,34.15,28.68,-0.42,203.82,158.32,187.01,1.23,1.34,3.84,11.63,17.12,98.86,1.1,1.29,1.3,2.39
WRT1V,WARTSILA CORPORATION,24.23,EUR,OMXHEX,-0.98,16913535212,USD,25.52,1.55,242.72,26.63,32.22,37.36,1.76,24.19,18.72,22.12,1.46,1.19,0.4,23.78,22.99,96.21,1.1,1.29,1.29,2.39
VST,Vistra Corp.,192.74,USD,NYSE,1.2,65304195452,USD,30.58,0.47,914.42,129.62,38.24,20.46,-1.17,201.11,157.6,194.1,1.31,2.26,8.35,45.85,25.79,188.32,1.19,1.28,1.22,2.46
GLW,Corning Incorporated,66.95,USD,NYSE,1.79,57350619933,USD,70.88,1.7,103.56,60.94,32.13,36.63,19.55,64.11,50.23,57.41,1.06,1.16,1.32,7.55,8.28,129.7,1.13,1.28,1.33,2.41
NESTE,NESTE CORPORATION,16.07,EUR,OMXHEX,1.52,14237010738,USD,,1.26,-63.07,-19.35,72.74,74.81,10.26,14.52,11.35,13.23,1.34,1.8,0.45,-2.56,-0.18,128.2,1.13,1.28,1.42,2.41
NVT,nVent Electric plc,90.24,USD,NYSE,0.18,14524689035,USD,25.68,0.88,362.79,36.98,51.16,36.28,16.31,87.48,68.48,79.48,1.35,1.77,2.46,7.53,9.97,124.43,1.12,1.28,1.32,2.4
GNRC,Generac Holdings Inc.,193.64,USD,NYSE,-0.51,11362216113,USD,32.16,0,3,27.6,40.27,53.84,25.1,191.2,148.85,163.79,1.68,1.04,5.39,14.59,13.18,121.71,1.12,1.28,1.3,2.41
MBK,MBANK,948,PLN,GPW,3.04,10738693350,USD,12.51,0,401.59,52.9,29.69,14.74,10.88,934.42,732.74,849.26,1.78,1.47,34.48,18.9,9.21,97.33,1.1,1.28,1.29,2.37
RKT,"Rocket Companies, Inc.",18.68,USD,NYSE,-2.76,39312423245,USD,,0,-36.25,-6.13,40.98,45.82,26.22,17.4,13.61,15.58,2.29,-0.18,0.93,-0.01,2.13,80.67,1.08,1.28,1.37,2.36
IBKR,"Interactive Brokers Group, Inc.",62.54,USD,NASDAQ,0.23,27847997986,USD,32.8,0.43,382.32,100.64,17.26,19.57,-3.72,64.24,50.54,60.15,1.22,-12.25,1.84,19.15,,137.47,1.14,1.27,1.24,2.41
BATS,BRITISH AMERICAN TOBACCO ORD GBP0.25,4315,GBX,LSE,-1.78,1.27415E+11,USD,31.26,5.51,68.26,56.17,42.83,30.8,12.02,4175.57,3296.17,3872.86,0.66,0.34,82.84,6.03,4.73,129.8,1.13,1.27,1.31,2.4
EBS,ERSTE GROUP BANK AG,85.3,EUR,VIE,1.55,39365310962,USD,11.55,3.57,312.68,78.64,24.6,22.29,9.29,84.11,66.45,77.79,1.41,1.27,1.89,15.16,3.89,125.53,1.13,1.27,1.28,2.39
BBVA,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",16.2,EUR,BME,-1.55,1.1082E+11,USD,8.96,3.45,550.34,72.49,28.52,21.21,24.62,15.45,12.13,14.01,1.8,1.32,0.32,18.91,8.03,122.22,1.12,1.27,1.34,2.4
GE,GE Aerospace,270.37,USD,NYSE,1.44,2.86711E+11,USD,37.74,0.48,719.34,58.85,35.72,14.71,0.45,270.95,212.79,260.39,1.45,1.59,5.92,40.2,8.5,109.28,1.11,1.27,1.27,2.38
RCL,Royal Caribbean Cruises Ltd.,345.26,USD,NYSE,0.17,93782167829,USD,26.02,0.71,441.84,117.84,45.37,40.45,-1.44,321.83,255.42,319.2,2.23,1.8,10,47.48,16.59,203.66,1.2,1.26,1.35,2.46
JDEP,JDE PEET'S,31.22,EUR,EURONEXT,17.63,15177872028,USD,25.15,2.71,-17.84,49.09,60.6,33.42,29.65,26.16,20.7,24.95,0.05,0.57,0.7,5.7,5.01,143.11,1.14,1.26,1.51,2.41
DASH,"DoorDash, Inc.",243.7,USD,NASDAQ,-1.46,1.04107E+11,USD,135.58,0,33.9,88.35,25.01,18.62,-0.44,251.88,200.55,243,1.7,1.45,7.73,9.71,5.84,131.98,1.13,1.26,1.22,2.39
BT.A,BT GROUP ORD GBP0.05,213.1,GBX,LSE,0.52,28066238901,USD,20.14,3.8,95.5,58.38,44.52,21.98,6.55,211.06,167.88,201.91,1.01,0.8,4.08,8.29,8.05,124.88,1.12,1.26,1.27,2.38
CW,Curtiss-Wright Corporation,482.95,USD,NYSE,0.42,18196642085,USD,40.75,0.18,371.26,57.7,53.32,11.37,0.21,490.27,390.17,483.91,1.18,1.23,13.16,17.46,14.93,122.38,1.12,1.26,1.24,2.38
CABK,"CAIXABANK, S.A.",8.77,EUR,BME,-0.32,72921634774,USD,10.33,4.01,361.37,63.85,32.42,16.48,10.91,8.53,6.75,7.92,1,1.16,0.14,16.64,1.33,112.74,1.11,1.26,1.3,2.38
APG,APi Group Corporation,35.91,USD,NYSE,0.42,15078193828,USD,107.39,0,269.95,52.46,36.19,16.31,2.78,35.19,28.02,34.5,1.57,1.07,0.69,8.26,7.9,104.97,1.1,1.26,1.28,2.36
SMCI,"Super Micro Computer, Inc.",43.53,USD,NASDAQ,-0.8,25979471933,USD,26.27,0,1591.14,-28.77,-13.14,5.13,-16.53,49.45,39.3,48.88,1.46,2.92,2.44,17.9,13.07,-36.78,0.96,1.26,1.11,2.22
HEI,HEIDELBERG MATERIALS,204,EUR,XETR,0.54,42411434011,USD,19.47,1.63,290.36,119.45,41.18,11.11,2.98,202.37,161.61,197.7,1.28,1.15,4.68,10.71,10.98,171.74,1.17,1.25,1.26,2.42
SHOP,Shopify Inc.,140.33,USD,NASDAQ,-1.25,1.82382E+11,USD,77.45,0,33.78,87.11,23.87,34.47,14.85,137.84,109.89,124.98,2.68,3.53,5.4,22.09,13.72,145.45,1.15,1.25,1.28,2.4
NXT,Nextracker Inc.,67.78,USD,NASDAQ,-1.44,10028997668,USD,18.47,0,123.62,70.13,46.49,19.06,6.24,60.1,48.18,60.51,2.26,1.28,3.21,37.2,31.87,135.68,1.14,1.25,1.41,2.38
CG,The Carlyle Group Inc.,64.64,USD,NASDAQ,-0.12,23378795559,USD,18.86,2.16,143.72,62.03,30.39,43.19,3.02,62.6,50.19,57.91,1.89,1.86,1.82,23.07,,135.61,1.14,1.25,1.29,2.38
