Symbole,Description,Prix,Prix - Devise,Marché,Changement de prix % 1 jour,Capitalisation boursière,Capitalisation boursière - Devise,Ratio cours/bénéfice,"Rendement du dividende %, 12 mois écoulés",Performance % 5 années,Performance % 1 année,Performance % 6 mois,Performance % 3 mois,Performance % 1 mois,Moyenne mobile simple (21) 1 jour,Moyenne mobile simple (200) 1 jour,Moyenne mobile simple (50) 1 jour,Beta 5 années,Beta 1 année,Moyenne de la vraie amplitude (14) 1 jour,"Rendement des fonds propres %, 12 mois écoulés","Rendement des capitaux employés %, 12 mois écoulés",perfsum,mrat,perf_sum,perf_norm,MRAT,Diff,score
TKO,"TKO Group Holdings, Inc.",184.24,USD,NYSE,0.89,36533964303.0,USD,84.83,0.42,328.76,54.91,12.46,18.21,9.67,174.37,155.23,173.15,0.75,0.88,5.22,5.11,7.42,85.58,1.123290667,85.58,1.09,1.12,1.19,2.21
DELL,Dell Technologies Inc.,127.83,USD,NYSE,-0.51,86777327477.0,USD,20.38,1.51,325.17,15.32,5.78,16.56,-0.13,133.66,113.57,126.99,1.01,2.0,4.21,,20.27,37.65,1.176828508,37.65,1.04,1.18,1.13,2.21
STT,State Street Corporation,112.36,USD,NYSE,0.42,31876008915.0,USD,12.59,2.72,65.48,39.16,12.44,18.42,3.62,111.36,97.63,107.7,1.5,1.15,2.03,10.94,1.19,70.02,1.140605459,70.02,1.07,1.14,1.15,2.21
ROKU,"Roku, Inc.",90.61,USD,NASDAQ,2.42,13349628987.0,USD,,0.0,-39.39,45.39,-3.29,33.47,-0.43,87.78,77.54,86.81,2.05,2.51,3.49,-2.47,-4.35,75.57,1.132053,75.57,1.08,1.13,1.17,2.21
CHRW,"C.H. Robinson Worldwide, Inc.",122.8,USD,NASDAQ,1.42,14501595255.0,USD,27.95,2.05,26.66,23.21,22.3,28.59,26.53,114.62,101.26,104.11,0.86,0.81,2.64,32.43,24.25,74.09,1.1320291,74.09,1.07,1.13,1.21,2.21
BA.,BAE SYSTEMS ORD GBP0.025,1764.5,GBX,LSE,0.28,69029653837.0,USD,27.13,1.91,231.3,34.39,37.64,-4.41,-5.41,1779.95,1558.87,1839.16,0.43,0.55,44.23,17.89,9.1,67.61,1.141824036,67.61,1.07,1.14,1.13,2.21
FNV,FRANCO NEVADA CORP,252.72,CAD,TSX,2.16,34980944742.0,USD,44.43,0.83,28.35,48.99,26.19,10.74,17.01,234.39,208.45,227.69,0.44,0.78,5.33,12.9,14.3,85.92,1.124430494,85.92,1.09,1.12,1.21,2.21
FFIV,"F5, Inc.",314.23,USD,NASDAQ,-0.49,18051624941.0,USD,27.71,0.0,130.39,59.79,2.85,12.54,4.6,313.71,277.41,302.87,1.03,0.96,7.09,20.58,17.95,75.19,1.130869224,75.19,1.08,1.13,1.13,2.21
MAERSK_A,A.P. MOLLER - MAERSK A A/S,13820.0,DKK,OMXCOP,0.88,33637939702.0,USD,4.57,8.25,58.59,33.66,14.21,10.38,6.72,13530.95,11755.8,12769.8,0.53,0.54,358.52,13.19,10.09,58.25,1.151002261,58.25,1.06,1.15,1.18,2.21
COHR,Coherent Corp.,86.6,USD,NYSE,0.06,13492753092.0,USD,,0.0,101.86,9.83,-0.46,13.72,-13.34,102.72,86.3,94.82,1.9,2.67,5.41,0.63,4.61,23.09,1.19027203,23.09,1.02,1.19,1.0,2.21
AGS,AGEAS,62.75,EUR,EURONEXT,-0.16,14214219472.0,USD,10.3,3.9,69.09,42.1,22.68,8.85,8.38,60.85,53.45,58.57,0.78,0.69,0.65,14.74,1.39,73.62,1.138342969,73.62,1.07,1.14,1.17,2.21
FRE,FRESENIUS SE+CO.KGAA O.N.,47.75,EUR,XETR,0.38,30781915445.0,USD,23.91,2.12,22.4,47.42,31.65,10.23,13.15,43.98,39.17,42.87,0.97,0.74,0.72,7.3,6.48,89.3,1.122820786,89.3,1.09,1.12,1.22,2.21
PKO,PKOBP,77.7,PLN,GPW,-7.21,28511375773.0,USD,9.67,4.69,250.0,35.13,8.92,3.74,-4.26,81.67,70.18,78.13,1.47,1.52,2.69,20.3,8.23,47.78,1.163849261,47.78,1.05,1.16,1.11,2.21
BEN,"Franklin Resources, Inc.",24.52,USD,NYSE,-0.16,12730673790.0,USD,47.02,5.17,16.54,8.26,17.88,15.44,1.11,24.92,21.4,24.31,1.49,0.95,0.48,2.16,,41.58,1.164574205,41.58,1.04,1.16,1.15,2.21
ADM,ADMIRAL GROUP ORD GBP0.001,3632.0,GBX,LSE,-1.25,15108679758.0,USD,13.45,5.24,35.98,24.47,31.07,8.55,8.61,3458.0,3007.14,3375.4,0.25,0.27,67.86,65.36,14.36,64.09,1.149931746,64.09,1.06,1.15,1.21,2.21
ALE,ALLEGRO,38.07,PLN,GPW,-1.07,11062940349.0,USD,38.85,0.0,-41.43,-0.46,30.42,17.36,5.17,37.17,31.92,35.54,0.81,1.11,0.9,10.82,10.82,47.32,1.164320762,47.32,1.05,1.16,1.19,2.21
RPRX,Royalty Pharma plc,36.31,USD,NASDAQ,-1.55,21176866431.0,USD,15.81,2.33,-15.56,32.57,9.07,12.9,1.85,36.79,31.82,36.11,0.54,0.16,0.79,15.92,10.67,54.54,1.156069364,54.54,1.05,1.16,1.14,2.21
LDOS,"Leidos Holdings, Inc.",180.44,USD,NYSE,0.16,23149971037.0,USD,17.06,0.88,101.41,20.09,39.7,16.31,11.96,171.38,152.41,163.21,0.66,0.72,3.4,30.76,20.2,76.1,1.124464422,76.1,1.08,1.12,1.18,2.2
MTX,MTU AERO ENGINES AG,379.2,EUR,XETR,-0.45,23776775862.0,USD,24.53,0.58,156.3,42.88,21.31,10.39,-1.81,378.81,336.84,376.19,1.05,0.99,8.25,24.74,17.4,74.58,1.124614496,74.58,1.07,1.12,1.13,2.2
WELL,Welltower Inc.,166.94,USD,NYSE,0.57,111507000000.0,USD,137.9,1.61,198.96,42.94,11.05,12.68,3.9,165.22,146.02,158.91,0.92,0.35,2.91,3.48,,66.66,1.131477504,66.66,1.07,1.13,1.14,2.2
FLUT,Flutter Entertainment plc,295.0,USD,NYSE,0.16,51949371262.0,USD,145.31,0.0,87.0,43.13,3.1,25.63,-3.42,297.5,262.6,289.38,1.16,1.2,7.15,3.64,5.39,71.87,1.132906976,71.87,1.07,1.13,1.12,2.2
BNP,BNP PARIBAS ACT.A,82.83,EUR,EURONEXT,0.13,108442000000.0,USD,8.79,5.75,128.59,35.43,16.93,6.86,5.85,80.74,71.07,78.23,1.57,1.22,1.45,9.5,1.38,59.22,1.136065382,59.22,1.06,1.14,1.17,2.2
ORLY,"O'Reilly Automotive, Inc.",102.87,USD,NASDAQ,-1.09,87284858281.0,USD,36.79,0.0,233.44,35.95,17.41,13.39,9.51,101.25,89.12,95.29,0.56,0.29,1.71,,49.24,66.75,1.136144168,66.75,1.07,1.14,1.15,2.2
CCH,COCA-COLA HBC AG ORD CHF6.70(CDI),3916.0,GBX,LSE,-0.71,19227017084.0,USD,18.58,2.17,93.0,43.86,18.96,-2.34,-3.26,3893.9,3421.07,3903.24,1.09,0.39,72.0,28.56,18.55,60.48,1.138212536,60.48,1.06,1.14,1.14,2.2
FFH,FAIRFAX FINANCIAL HLDGS LTD,2420.72,CAD,TSX,2.25,42052583060.0,USD,8.8,0.91,496.22,53.6,18.73,5.46,-1.03,2406.53,2140.92,2421.02,0.9,0.06,35.55,19.07,6.37,77.79,1.124066687,77.79,1.08,1.12,1.13,2.2
SNOW,Snowflake Inc.,194.68,USD,NYSE,-0.06,64956534952.0,USD,,0.0,-20.54,46.64,5.29,-1.93,-9.41,204.75,177.34,211.11,1.22,1.37,6.53,-40.16,-28.96,50.0,1.154527599,50.0,1.05,1.15,1.1,2.2
LYV,"Live Nation Entertainment, Inc.",162.47,USD,NYSE,0.35,37684933641.0,USD,70.57,0.0,216.15,67.01,3.64,13.93,8.84,154.84,138.88,150.47,1.46,1.01,3.69,345.87,15.13,84.58,1.114906912,84.58,1.08,1.11,1.17,2.2
ANTO,ANTOFAGASTA PLC ORD GBP0.05,2131.0,GBX,LSE,-0.23,28240749003.0,USD,24.9,1.12,97.13,15.91,16.35,21.84,6.34,2029.57,1775.11,1924.5,1.66,2.01,49.24,11.88,12.02,54.1,1.143351278,54.1,1.05,1.14,1.2,2.2
DANSKE,DANSKE BANK A/S,275.4,DKK,OMXCOP,-0.11,34794716041.0,USD,9.86,6.18,179.65,35.46,16.89,8.3,7.33,265.9,232.94,260.99,0.3,0.42,3.99,13.32,0.91,60.66,1.141534484,60.66,1.06,1.14,1.18,2.2
MU,"Micron Technology, Inc.",115.79,USD,NASDAQ,-1.21,129583000000.0,USD,20.9,0.39,168.53,7.05,11.72,25.5,2.6,115.8,99.83,118.21,1.37,2.16,4.59,13.11,12.19,44.28,1.159979,44.28,1.04,1.16,1.16,2.2
BSY,"Bentley Systems, Incorporated",53.41,USD,NASDAQ,-0.37,16216928980.0,USD,68.25,0.48,90.75,7.16,14.54,12.87,-7.91,55.29,48.0,54.62,1.1,0.64,1.08,23.69,13.37,34.57,1.151827197,34.57,1.03,1.15,1.11,2.19
SNX,TD SYNNEX Corporation,144.44,USD,NYSE,-0.59,11911545116.0,USD,16.88,1.18,130.01,22.14,0.15,20.32,1.37,146.18,127.72,140.38,1.32,1.27,2.86,8.83,9.7,42.6,1.144569917,42.6,1.04,1.14,1.13,2.19
CR,Crane Company,188.7,USD,NYSE,-0.68,10859088658.0,USD,35.6,0.46,151.6,26.78,9.13,12.89,1.68,193.38,169.79,189.53,1.27,1.26,4.13,18.23,19.4,48.8,1.138972186,48.8,1.05,1.14,1.11,2.19
VRSN,"VeriSign, Inc.",272.24,USD,NASDAQ,0.3,25429554235.0,USD,32.49,0.28,32.2,52.17,16.4,-2.91,-4.27,273.71,242.69,279.76,0.78,0.62,5.98,,469.7,65.66,1.127815947,65.66,1.07,1.13,1.12,2.19
CEZ,CEZ,1241.0,CZK,PSECZ,-0.16,31421341434.0,USD,26.13,3.79,167.46,37.89,20.72,2.82,0.24,1243.1,1100.66,1229.1,0.89,0.24,6.28,10.87,10.78,61.43,1.129406369,61.43,1.06,1.13,1.13,2.19
AENA,"AENA, S.M.E., S.A.",25.5,EUR,BME,0.28,44270706082.0,USD,18.94,3.08,115.74,44.23,20.62,5.81,8.12,24.64,21.96,23.71,0.93,0.68,0.31,26.61,19.33,70.66,1.121717765,70.66,1.07,1.12,1.16,2.19
ING,INGBSK,330.0,PLN,GPW,-5.04,12314232283.0,USD,9.42,7.34,137.75,21.1,12.82,8.91,1.85,338.0,295.4,322.63,1.48,0.96,8.82,28.69,8.6,42.83,1.144211239,42.83,1.04,1.14,1.12,2.19
ADM,Archer-Daniels-Midland Company,61.12,USD,NYSE,0.64,29365988354.0,USD,26.9,3.33,39.48,4.05,30.77,28.4,12.91,57.36,50.7,55.22,0.66,0.43,1.32,4.93,3.11,63.22,1.13137342,63.22,1.06,1.13,1.21,2.19
SLHN,SWISS LIFE HOLDING AG N,903.6,CHF,SIX,-0.29,31726131320.0,USD,21.22,3.86,144.61,34.87,17.93,9.29,8.03,877.16,780.16,838.32,1.12,0.54,8.83,16.59,2.04,62.09,1.124343117,62.09,1.06,1.12,1.16,2.19
,NATIONAL BANK OF CANADA,150.82,CAD,TSX,0.37,42466123917.0,USD,14.38,3.03,125.95,27.89,22.03,17.98,5.96,146.86,130.73,142.39,0.19,0.1,1.24,13.56,1.65,67.91,1.12343922,67.91,1.07,1.12,1.15,2.19
EDNR,EDISON R,2.2,EUR,MIL,0.69,12010268027.0,USD,,4.06,139.13,41.48,16.4,14.11,8.91,2.16,1.93,2.08,0.44,0.15,0.04,2.21,10.57,71.99,1.122469626,71.99,1.07,1.12,1.14,2.19
JPM,JP Morgan Chase & Co.,291.47,USD,NYSE,-0.26,801471000000.0,USD,14.96,1.81,196.06,35.93,8.63,13.5,-0.01,292.95,258.89,287.68,1.11,-3.91,5.04,16.13,2.75,58.05,1.131540232,58.05,1.06,1.13,1.13,2.19
GILD,"Gilead Sciences, Inc.",116.14,USD,NASDAQ,-2.18,144107000000.0,USD,23.1,2.63,75.03,55.16,4.89,9.72,7.14,115.84,103.86,112.46,0.35,0.47,2.82,33.26,25.12,69.77,1.115379099,69.77,1.07,1.12,1.12,2.19
IMO,IMPERIAL OIL,117.43,CAD,TSX,1.5,42949884070.0,USD,12.93,2.28,441.15,15.55,14.52,19.84,4.98,115.84,101.7,112.83,1.22,1.28,1.99,19.21,16.17,49.91,1.13901266,49.91,1.05,1.14,1.15,2.19
BN,Brookfield Corporation,64.1,USD,NYSE,0.08,105706000000.0,USD,145.21,0.53,131.51,37.35,6.16,13.57,-3.25,66.0,58.24,63.92,0.77,0.27,1.26,1.87,,57.08,1.133314253,57.08,1.06,1.13,1.1,2.19
RBC,RBC Bearings Incorporated,390.52,USD,NYSE,-0.57,12325825141.0,USD,49.12,0.0,203.1,35.25,5.44,9.91,-0.09,396.29,348.58,387.86,1.72,0.93,8.7,8.56,8.62,50.6,1.136858884,50.6,1.05,1.14,1.12,2.19
L,LOBLAWS COMPANIES LIMITED,58.77,CAD,TSX,-0.63,50129130438.0,USD,29.07,0.89,232.22,37.23,34.64,4.84,7.16,56.79,50.82,56.14,0.13,-0.04,0.95,22.15,14.94,76.72,1.117588638,76.72,1.08,1.12,1.16,2.19
HO,THALES,231.8,EUR,EURONEXT,0.22,55169578199.0,USD,69.88,1.61,238.79,56.36,27.19,-10.57,-8.92,233.7,209.33,240.79,0.75,0.33,5.63,14.51,14.11,72.97,1.116424385,72.97,1.07,1.12,1.11,2.19
A5G,AIB Group PLC,7.2,EUR,EURONEXT,0.21,17818154885.0,USD,8.05,5.14,592.31,37.14,14.74,7.78,8.76,7.01,6.19,6.88,1.36,1.4,0.16,16.08,5.75,59.67,1.132094854,59.67,1.06,1.13,1.16,2.19
PODD,Insulet Corporation,327.85,USD,NASDAQ,-1.55,23078192160.0,USD,99.77,0.0,55.23,78.32,18.64,2.63,16.43,302.88,279.7,300.48,1.35,0.73,7.82,19.18,16.78,99.59,1.082880492,99.59,1.1,1.08,1.17,2.18
HSBA,HSBC HOLDINGS PLC ORD USD0.50,969.1,GBX,LSE,0.19,225190000000.0,USD,12.57,5.3,190.93,48.5,10.21,9.49,2.99,945.2,846.64,919.02,1.17,1.57,13.05,10.81,0.91,68.2,1.116412147,68.2,1.07,1.12,1.14,2.18
EXPE,"Expedia Group, Inc.",205.35,USD,NASDAQ,-0.16,25404995733.0,USD,25.13,0.39,122.84,53.25,-0.69,31.05,10.75,193.65,177.11,182.65,1.61,1.51,5.62,129.04,20.96,83.61,1.093394163,83.61,1.08,1.09,1.16,2.18
COF,Capital One Financial Corporation,212.01,USD,NYSE,-1.26,135584000000.0,USD,17.8,1.12,230.29,49.51,3.13,15.49,-1.61,213.19,191.84,211.93,1.17,1.5,4.97,7.9,1.21,68.14,1.111311386,68.14,1.07,1.11,1.11,2.18
BLK,"BlackRock, Inc.",1124.75,USD,NYSE,-0.33,183543000000.0,USD,27.18,1.83,91.49,30.5,13.33,17.54,2.62,1125.62,1004.78,1080.98,1.43,1.16,19.21,14.35,,61.37,1.120267474,61.37,1.06,1.12,1.12,2.18
DKNG,DraftKings Inc.,46.09,USD,NASDAQ,0.96,22882305245.0,USD,,0.0,27.99,32.44,-6.57,34.79,3.55,44.51,39.95,42.96,1.7,1.27,1.57,-26.38,-9.72,60.66,1.114362164,60.66,1.06,1.11,1.15,2.18
Z,"Zillow Group, Inc.",81.4,USD,NASDAQ,0.37,19545139309.0,USD,,0.0,-3.5,47.65,3.48,26.5,4.84,82.1,74.32,76.94,2.09,1.1,2.56,-1.34,-2.65,77.63,1.104754856,77.63,1.08,1.1,1.1,2.18
WSM,"Williams-Sonoma, Inc.",197.21,USD,NYSE,-1.03,24256448659.0,USD,22.32,1.23,292.85,41.09,-6.91,24.71,13.4,196.84,175.4,178.99,1.47,1.47,5.35,51.1,41.7,58.89,1.122200213,58.89,1.06,1.12,1.12,2.18
CAH,"Cardinal Health, Inc.",151.57,USD,NYSE,-0.9,36193953784.0,USD,23.54,1.33,201.75,38.76,19.43,-0.38,-4.34,154.18,137.9,158.98,0.68,0.44,3.79,,21.7,57.81,1.118009495,57.81,1.06,1.12,1.1,2.18
AZO,"AutoZone, Inc.",4127.69,USD,NYSE,-0.73,69050944466.0,USD,27.94,0.0,240.68,29.03,20.84,7.07,10.65,3975.16,3548.36,3804.45,0.38,0.34,70.28,,43.47,56.94,1.120278637,56.94,1.06,1.12,1.16,2.18
MO,"Altria Group, Inc.",67.68,USD,NYSE,0.15,113695000000.0,USD,13.08,6.04,55.3,31.32,24.57,13.51,15.59,63.55,57.24,60.94,0.62,0.01,1.0,,46.17,69.4,1.110237065,69.4,1.07,1.11,1.18,2.18
ENX,EURONEXT,143.6,EUR,EURONEXT,-0.35,16467630727.0,USD,22.67,1.99,56.2,52.28,19.87,-1.31,-5.09,142.03,128.58,144.71,0.51,0.16,2.47,16.09,,70.84,1.104660131,70.84,1.07,1.1,1.12,2.18
CPNG,"Coupang, Inc.",28.22,USD,NYSE,-2.15,51446898608.0,USD,142.09,0.0,-55.56,23.99,11.59,4.4,-10.07,28.9,25.33,29.42,1.16,0.98,0.72,8.55,7.9,39.98,1.140639418,39.98,1.04,1.14,1.11,2.18
THC,Tenet Healthcare Corporation,177.39,USD,NYSE,-2.5,15672583468.0,USD,11.36,0.0,559.44,13.97,30.13,11.32,-3.28,165.04,146.88,168.14,1.52,1.0,4.95,41.09,13.41,55.42,1.123644208,55.42,1.06,1.12,1.21,2.18
GD,General Dynamics Corporation,316.53,USD,NYSE,-0.3,85144463851.0,USD,21.25,1.84,110.33,6.75,29.09,15.21,7.23,314.23,277.7,301.5,0.49,0.67,3.89,17.91,13.59,51.05,1.131580113,51.05,1.05,1.13,1.14,2.18
NSC,Norfolk Southern Corporation,284.35,USD,NYSE,-0.4,63795149157.0,USD,19.21,1.89,34.05,17.51,14.33,20.3,1.66,280.69,249.56,269.12,1.3,0.94,4.76,24.11,11.06,52.13,1.124744201,52.13,1.05,1.12,1.14,2.18
DHI,"D.R. Horton, Inc.",161.87,USD,NYSE,-0.92,48257255180.0,USD,12.97,0.92,109.7,-11.03,25.34,37.21,11.92,155.21,137.89,141.31,1.34,0.46,5.01,16.27,15.66,51.53,1.125563133,51.53,1.05,1.13,1.17,2.18
CBOE,"Cboe Global Markets, Inc.",249.25,USD,CBOE,-1.06,26069090816.0,USD,29.22,1.0,169.49,21.27,19.25,10.01,5.43,246.95,217.71,238.16,0.46,-0.11,4.65,20.64,,50.52,1.134290259,50.52,1.05,1.13,1.14,2.18
MOS,Mosaic Company (The),32.61,USD,NYSE,0.49,10349707418.0,USD,11.06,2.65,83.2,18.41,21.91,-6.05,-8.27,33.87,29.67,35.19,1.13,1.1,0.96,7.8,6.54,34.27,1.141310082,34.27,1.03,1.14,1.1,2.18
ULS,UL Solutions Inc.,65.2,USD,NYSE,-2.54,13097557200.0,USD,40.17,0.76,90.48,22.76,20.7,-7.86,-6.7,68.61,59.7,70.06,0.99,0.54,2.2,35.12,23.71,35.6,1.149242648,35.6,1.04,1.15,1.09,2.18
CTPNV,CTP NV,18.6,EUR,EURONEXT,-0.21,10368548844.0,USD,7.48,3.16,32.38,10.71,13.97,15.38,0.11,18.61,16.39,18.01,0.94,0.62,0.32,16.0,,40.07,1.135403984,40.07,1.04,1.14,1.13,2.18
TSCO,TESCO ORD GBP0.0633333,427.9,GBX,LSE,-0.83,37613705928.0,USD,18.21,3.21,87.92,25.41,13.99,12.28,0.47,420.3,376.75,412.28,0.9,0.48,5.76,13.71,,51.68,1.115585012,51.68,1.05,1.12,1.14,2.17
CMI,Cummins Inc.,394.2,USD,NYSE,-0.54,54315253132.0,USD,18.54,1.84,87.22,30.79,2.84,25.17,14.26,382.95,343.42,353.39,1.01,1.28,8.18,27.56,17.82,58.8,1.115118771,58.8,1.06,1.12,1.15,2.17
MLI,"Mueller Industries, Inc.",90.66,USD,NYSE,-1.09,10036130605.0,USD,14.39,0.98,500.0,32.89,9.97,21.43,5.14,89.21,80.76,84.35,1.03,1.22,1.78,25.98,28.89,64.29,1.104609046,64.29,1.06,1.1,1.12,2.17
BNT,BROOKFIELD WEALTH SOLUTIONS LTD,88.91,CAD,TSX,0.2,18154105657.0,USD,,0.53,31.41,40.57,3.89,13.32,-2.15,91.03,81.71,87.48,2.03,2.18,1.72,6.26,1.13,57.78,1.114067139,57.78,1.06,1.11,1.09,2.17
SAMPO,SAMPO PLC A,9.93,EUR,OMXHEX,-0.08,31052128783.0,USD,22.28,3.4,50.18,22.41,23.97,4.39,4.61,9.69,8.69,9.43,0.58,0.48,0.11,17.41,,50.78,1.114311998,50.78,1.05,1.11,1.14,2.17
EMA,EMERA INC,67.01,CAD,TSX,0.8,14410302692.0,USD,22.74,4.35,24.93,32.69,19.04,8.99,5.53,65.2,58.54,63.28,0.65,0.22,0.87,7.39,4.21,60.73,1.113819169,60.73,1.06,1.11,1.14,2.17
CTVA,"Corteva, Inc.",72.98,USD,NYSE,0.03,49560718498.0,USD,35.51,0.93,154.82,35.47,14.68,6.68,-0.25,72.12,64.88,73.28,0.75,0.74,1.14,5.75,7.35,56.83,1.111606466,56.83,1.06,1.11,1.12,2.17
LI,KLEPIERRE,35.36,EUR,EURONEXT,0.17,11546925110.0,USD,8.59,5.23,155.12,32.04,18.18,3.94,6.57,34.49,31.03,33.72,1.67,0.29,0.4,14.13,,54.16,1.111571554,54.16,1.05,1.11,1.14,2.17
MS,Morgan Stanley,144.04,USD,NYSE,-0.06,229936000000.0,USD,16.32,2.62,180.73,42.47,6.56,16.07,2.3,143.54,129.5,140.65,0.7,0.28,2.61,14.13,1.96,65.1,1.108433139,65.1,1.07,1.11,1.11,2.17
CM,CANADIAN IMPERIAL BANK OF COMMERCE,101.6,CAD,TSX,0.12,68195535578.0,USD,12.78,3.75,108.47,39.73,16.18,9.94,1.01,100.58,90.81,98.54,1.25,0.59,0.95,13.36,2.0,65.86,1.10765679,65.86,1.07,1.11,1.12,2.17
EA,Electronic Arts Inc.,171.55,USD,NASDAQ,0.13,42923061474.0,USD,43.07,0.44,20.58,15.06,31.85,16.8,10.82,164.42,148.45,157.78,0.72,0.39,3.99,15.46,15.98,63.71,1.107594272,63.71,1.06,1.11,1.16,2.17
FSLR,"First Solar, Inc.",192.0,USD,NASDAQ,-6.99,20591548828.0,USD,16.42,0.0,156.68,-13.51,18.18,24.67,7.66,188.34,165.59,174.75,1.48,0.96,10.08,15.92,15.24,29.34,1.137418772,29.34,1.03,1.14,1.16,2.17
TEL,TELENOR ASA,165.7,NOK,OSL,-0.24,22305547663.0,USD,20.56,5.69,12.11,29.96,18.1,6.9,2.41,162.34,145.61,159.03,0.14,0.27,1.89,16.98,11.17,54.97,1.114898187,54.97,1.05,1.11,1.14,2.17
ITT,ITT Inc.,164.9,USD,NYSE,-0.49,12862199524.0,USD,25.92,0.81,167.65,23.41,10.67,13.4,5.29,165.28,147.85,159.98,1.39,1.43,3.18,20.17,18.78,47.48,1.117926272,47.48,1.05,1.12,1.12,2.17
USFD,US Foods Holding Corp.,77.38,USD,NYSE,-1.81,17423778997.0,USD,33.08,0.0,241.18,32.98,8.38,2.86,-7.78,80.54,71.48,79.59,1.44,0.76,1.84,11.48,12.86,44.21,1.126813017,44.21,1.04,1.13,1.08,2.17
HLMA,HALMA ORD GBP0.10,3234.0,GBX,LSE,-0.37,16442149570.0,USD,41.38,0.71,45.94,25.93,9.85,11.36,0.37,3249.43,2883.32,3217.68,0.65,1.0,45.54,16.3,15.09,47.15,1.126976612,47.15,1.05,1.13,1.12,2.17
CNA,CENTRICA ORD GBP0.061728395,165.65,GBX,LSE,0.09,10476033623.0,USD,,2.73,260.27,31.99,15.36,4.05,1.66,164.48,146.77,162.12,1.01,0.88,3.21,-5.95,54.05,51.4,1.120652386,51.4,1.05,1.12,1.13,2.17
URW,UNIBAIL-RODAMCO-WESTFIELD,90.78,EUR,EURONEXT,0.09,15078728935.0,USD,17.0,3.83,127.23,27.61,11.63,13.7,9.35,87.71,78.26,83.78,2.0,0.9,1.3,5.05,,52.94,1.120667216,52.94,1.05,1.12,1.16,2.17
EMR,Emerson Electric Company,130.09,USD,NYSE,-0.61,73214648351.0,USD,27.94,1.61,90.66,26.01,4.11,13.17,-9.05,138.09,123.66,136.68,1.31,1.41,2.86,10.86,9.56,43.29,1.116684922,43.29,1.04,1.12,1.05,2.16
ACM,AECOM,121.58,USD,NYSE,1.24,16102795950.0,USD,24.73,0.83,215.87,25.86,21.3,14.19,8.51,117.32,106.86,114.89,1.0,0.81,2.15,28.17,17.28,61.35,1.097821515,61.35,1.06,1.1,1.14,2.16
TDY,Teledyne Technologies Incorporated,542.44,USD,NYSE,0.12,25434196101.0,USD,29.88,0.0,72.81,30.0,8.23,11.88,-2.58,547.61,495.37,529.82,1.07,0.93,9.58,8.72,8.04,50.11,1.105450305,50.11,1.05,1.11,1.1,2.16
RBA,RB GLOBAL INC,160.94,CAD,TSX,0.76,21461857073.0,USD,56.82,1.01,95.15,41.96,9.61,7.92,9.13,154.71,140.2,149.47,0.38,0.98,2.71,8.06,7.48,59.49,1.103528605,59.49,1.06,1.1,1.15,2.16
BAM,Brookfield Asset Management Inc,59.01,USD,NYSE,-0.61,95190738750.0,USD,38.84,2.76,81.29,47.01,-2.86,4.57,-1.99,61.58,55.61,58.65,1.84,1.98,1.35,26.64,,48.72,1.107297646,48.72,1.05,1.11,1.06,2.16
NEM,NEMETSCHEK SE,121.4,EUR,XETR,0.0,16273445007.0,USD,74.47,0.45,92.55,32.82,3.41,2.45,-4.78,127.75,113.81,125.17,0.62,1.3,3.19,23.55,22.61,38.68,1.122532887,38.68,1.04,1.12,1.07,2.16
EDP,EDP S.A,3.85,EUR,EURONEXT,-0.05,18476468384.0,USD,21.45,5.21,-10.19,3.63,27.78,10.38,-0.36,3.76,3.35,3.76,0.98,1.31,0.05,6.77,4.66,41.79,1.12246329,41.79,1.04,1.12,1.15,2.16
CNP,"CenterPoint Energy, Inc (Holding Co)",38.0,USD,NYSE,-1.3,24808864990.0,USD,26.48,2.21,91.63,46.83,12.63,1.69,1.23,38.43,34.92,37.21,0.57,0.23,0.62,8.76,5.06,61.14,1.100336016,61.14,1.06,1.1,1.09,2.16
J,Jacobs Solutions Inc.,147.32,USD,NYSE,0.53,17610113416.0,USD,36.81,0.83,100.02,20.41,14.39,17.86,7.28,145.51,131.09,137.96,0.79,0.94,2.6,9.29,9.5,52.66,1.110042067,52.66,1.05,1.11,1.12,2.16
MNST,Monster Beverage Corporation,64.36,USD,NASDAQ,-0.05,62842917078.0,USD,40.19,0.0,55.12,36.91,24.78,2.68,8.5,62.06,56.89,61.72,0.55,0.33,1.32,24.1,30.52,64.36,1.090805633,64.36,1.06,1.09,1.13,2.16
JLL,Jones Lang LaSalle Incorporated,292.9,USD,NYSE,-1.47,13877961802.0,USD,25.18,0.0,200.44,20.07,7.17,38.25,14.72,279.58,254.49,262.86,1.38,1.14,6.96,8.4,,65.49,1.098588832,65.49,1.07,1.1,1.15,2.16
ETR,Entergy Corporation,89.22,USD,NYSE,-0.68,39828616666.0,USD,22.21,2.63,81.16,50.14,4.62,8.75,2.13,89.57,81.77,85.7,0.55,0.4,1.53,11.32,5.14,63.51,1.095374158,63.51,1.06,1.1,1.09,2.16
SOF,SOFINA,262.2,EUR,EURONEXT,-0.76,10335114739.0,USD,6.54,0.91,7.24,22.07,13.8,3.39,-5.0,271.83,242.76,269.64,1.47,1.08,5.29,14.02,,39.26,1.119755852,39.26,1.04,1.12,1.08,2.16
